customer_id,segment,country,orders_30d,support_tickets_30d,reachable_by_email,health_score,churn_risk_band
C00001,consumer,GR,7,0,false,88,low
C00002,enterprise,ES,3,2,true,53,medium
C00003,consumer,ES,1,2,true,35,medium
C00004,consumer,GR,3,3,true,16,high
C00005,mid_market,PT,1,2,false,10,high
C00006,enterprise,GR,2,1,true,56,medium
C00007,consumer,GR,3,2,false,53,medium
C00008,smb,PT,3,2,true,53,medium
C00009,mid_market,FR,2,0,true,68,low
C00010,mid_market,DE,7,0,true,100,low
C00011,smb,DE,2,4,true,20,high
C00012,smb,PT,7,0,true,100,low
C00013,mid_market,FR,4,0,true,86,low
C00014,smb,IT,5,3,true,59,medium
C00015,mid_market,PT,3,2,false,53,medium
C00016,consumer,FR,4,0,true,61,low
C00017,mid_market,GR,2,0,false,43,medium
C00018,enterprise,DE,6,6,true,32,medium
C00019,mid_market,FR,4,2,true,62,low
C00020,enterprise,PT,8,0,true,100,low
C00021,smb,FR,8,0,true,100,low
C00022,mid_market,FR,7,1,true,100,low
C00023,consumer,DE,5,0,false,70,low
C00024,consumer,GR,5,5,true,35,medium
C00025,enterprise,DE,5,2,true,71,low
C00026,smb,IT,5,4,false,47,medium
C00027,consumer,FR,5,0,true,95,low
C00028,mid_market,FR,6,2,true,80,low
C00029,consumer,FR,8,3,true,86,low
C00030,mid_market,FR,8,3,true,86,low
C00031,enterprise,DE,1,0,true,59,medium
C00032,smb,GR,6,2,false,55,medium
C00033,consumer,IT,2,0,true,68,low
C00034,smb,IT,5,3,true,59,medium
C00035,enterprise,IT,8,3,true,86,low
C00036,mid_market,FR,3,2,true,53,medium
C00037,smb,ES,4,0,true,86,low
C00038,consumer,IT,3,2,true,53,medium
C00039,mid_market,DE,2,0,true,68,low
C00040,smb,GR,6,1,true,92,low
C00041,consumer,ES,2,0,true,68,low
C00042,smb,GR,5,0,true,95,low
C00043,smb,PT,4,3,true,50,medium
C00044,enterprise,GR,3,0,true,77,low
C00045,smb,GR,7,5,true,53,medium
C00046,enterprise,DE,2,1,true,56,medium
C00047,smb,ES,4,2,true,62,low
C00048,consumer,FR,3,0,false,77,low
C00049,enterprise,IT,4,1,true,49,medium
C00050,mid_market,DE,6,0,true,100,low
C00051,mid_market,ES,5,6,true,23,high
C00052,consumer,ES,5,0,false,95,low
C00053,consumer,GR,8,4,false,74,low
C00054,enterprise,ES,5,0,false,95,low
C00055,smb,DE,3,0,true,77,low
C00056,consumer,IT,5,2,true,71,low
C00057,enterprise,GR,8,5,true,62,low
C00058,mid_market,FR,6,2,true,80,low
C00059,mid_market,IT,4,4,true,38,medium
C00060,smb,GR,4,0,true,86,low
C00061,consumer,FR,3,3,true,41,medium
C00062,enterprise,FR,5,3,true,34,medium
C00063,consumer,IT,6,1,false,67,low
C00064,smb,FR,1,4,true,0,high
C00065,consumer,PT,9,6,true,59,medium
C00066,smb,DE,1,0,true,59,medium
C00067,mid_market,GR,3,0,true,77,low
C00068,mid_market,DE,2,0,true,68,low
C00069,smb,FR,3,0,true,77,low
C00070,enterprise,DE,6,5,true,44,medium
C00071,smb,DE,5,0,true,95,low
C00072,enterprise,FR,5,0,true,95,low
C00073,enterprise,FR,2,2,true,44,medium
C00074,mid_market,GR,0,0,true,50,medium
C00075,smb,PT,2,2,true,44,medium
C00076,enterprise,ES,6,0,true,100,low
C00077,smb,ES,4,0,true,86,low
C00078,smb,FR,1,1,true,47,medium
C00079,mid_market,IT,3,2,true,28,high
C00080,consumer,FR,1,2,true,10,high
C00081,consumer,PT,2,0,true,68,low
C00082,mid_market,ES,5,2,true,71,low
C00083,mid_market,ES,2,0,false,68,low
C00084,enterprise,PT,4,0,true,61,low
C00085,smb,PT,3,0,true,77,low
C00086,mid_market,DE,4,0,true,86,low
C00087,mid_market,GR,5,0,true,95,low
C00088,consumer,ES,5,1,true,58,medium
C00089,smb,FR,2,2,true,44,medium
C00090,mid_market,IT,2,4,true,20,high
C00091,enterprise,FR,3,2,true,53,medium
C00092,consumer,GR,3,1,true,65,low
C00093,smb,FR,3,2,true,53,medium
C00094,smb,ES,5,2,true,71,low
C00095,consumer,FR,7,6,true,16,high
C00096,smb,IT,2,0,true,43,medium
C00097,consumer,GR,4,2,true,62,low
C00098,consumer,FR,5,2,true,46,medium
C00099,mid_market,ES,6,4,true,56,medium
C00100,consumer,PT,2,0,true,68,low
C00101,mid_market,ES,6,4,true,56,medium
C00102,mid_market,GR,1,1,true,47,medium
C00103,mid_market,DE,1,0,true,34,medium
C00104,mid_market,IT,3,0,true,52,medium
C00105,smb,DE,1,0,false,59,medium
C00106,mid_market,ES,9,0,true,100,low
C00107,mid_market,IT,2,3,true,7,high
C00108,consumer,PT,3,2,true,53,medium
C00109,mid_market,FR,3,0,true,77,low
C00110,smb,ES,5,2,true,71,low
C00111,mid_market,PT,6,2,true,80,low
C00112,smb,GR,5,0,false,95,low
C00113,enterprise,IT,2,0,true,68,low
C00114,enterprise,GR,3,2,true,53,medium
C00115,smb,DE,4,6,true,14,high
C00116,consumer,FR,5,2,true,71,low
C00117,smb,GR,6,7,true,20,high
C00118,mid_market,GR,2,3,true,32,medium
C00119,smb,FR,1,0,true,34,medium
