order_date,channel,orders,revenue_eur,items
2026-07-01,mobile,54,11499.80,199
2026-07-01,partner,37,6739.50,122
2026-07-01,store,49,9386.08,176
2026-07-01,web,40,8214.98,144
2026-07-02,mobile,35,4718.34,133
2026-07-02,partner,38,7289.37,146
2026-07-02,store,38,6972.25,132
2026-07-02,web,45,6637.60,157
2026-07-03,mobile,38,7439.87,141
2026-07-03,partner,33,7670.88,101
2026-07-03,store,32,7168.10,93
2026-07-03,web,36,7431.71,142
2026-07-04,mobile,34,7130.50,120
2026-07-04,partner,35,7821.59,107
2026-07-04,store,26,6795.28,92
2026-07-04,web,44,8330.15,182
2026-07-05,mobile,34,7073.78,123
2026-07-05,partner,40,8336.36,144
2026-07-05,store,36,7670.94,128
2026-07-05,web,42,8084.01,153
2026-07-06,mobile,43,10324.47,129
2026-07-06,partner,39,6291.07,116
2026-07-06,store,38,8174.96,116
2026-07-06,web,46,10305.42,162
2026-07-07,mobile,45,7459.14,140
2026-07-07,partner,46,9812.43,171
2026-07-07,store,44,9372.52,146
2026-07-07,web,39,7560.76,143
2026-07-08,mobile,34,6435.82,122
2026-07-08,partner,44,9468.47,137
2026-07-08,store,33,6496.71,117
2026-07-08,web,31,6178.26,107
2026-07-09,mobile,41,7717.14,161
2026-07-09,partner,33,6461.27,107
2026-07-09,store,37,7142.96,113
2026-07-09,web,35,7008.91,135
2026-07-10,mobile,37,7961.68,135
2026-07-10,partner,31,4863.14,122
2026-07-10,store,51,9753.39,170
2026-07-10,web,36,8388.79,129
2026-07-11,mobile,44,8873.45,160
2026-07-11,partner,39,8083.44,137
2026-07-11,store,44,8781.59,162
2026-07-11,web,35,7818.00,133
2026-07-12,mobile,33,7149.48,104
2026-07-12,partner,37,7177.90,133
2026-07-12,store,37,7723.49,126
2026-07-12,web,30,6593.22,118
2026-07-13,mobile,33,6006.43,110
2026-07-13,partner,40,9205.82,151
2026-07-13,store,47,8959.99,163
2026-07-13,web,31,7019.31,110
2026-07-14,mobile,39,7320.84,137
2026-07-14,partner,41,7885.04,125
2026-07-14,store,40,10033.01,143
2026-07-14,web,40,8221.04,146
2026-07-15,mobile,38,8418.07,123
2026-07-15,partner,46,9371.06,148
2026-07-15,store,38,7725.74,140
2026-07-15,web,54,11000.69,168
2026-07-16,mobile,39,8618.56,135
2026-07-16,partner,31,6854.34,106
2026-07-16,store,40,8290.83,135
2026-07-16,web,34,7574.53,117
2026-07-17,mobile,40,7668.56,151
2026-07-17,partner,40,9365.58,132
2026-07-17,store,37,5875.84,116
2026-07-17,web,33,7206.22,113
2026-07-18,mobile,34,6757.59,118
2026-07-18,partner,32,6569.83,131
2026-07-18,store,36,7371.34,133
2026-07-18,web,40,7112.24,111
2026-07-19,mobile,45,8564.92,168
2026-07-19,partner,40,7608.49,136
2026-07-19,store,40,7615.50,140
2026-07-19,web,38,8039.32,120
2026-07-20,mobile,37,8003.31,145
2026-07-20,partner,38,7154.83,162
2026-07-20,store,36,6443.28,129
2026-07-20,web,34,6103.93,115
2026-07-21,mobile,41,8638.64,130
2026-07-21,partner,25,4487.55,84
2026-07-21,store,27,5449.64,95
2026-07-21,web,37,7621.41,134
2026-07-22,mobile,38,8662.42,144
2026-07-22,partner,34,6546.43,105
2026-07-22,store,38,6995.70,135
2026-07-22,web,32,5511.80,107
2026-07-23,mobile,35,6206.27,128
2026-07-23,partner,43,8964.92,161
2026-07-23,store,39,8238.94,113
2026-07-23,web,35,7102.89,130
2026-07-24,mobile,29,4631.42,103
2026-07-24,partner,34,6081.10,120
2026-07-24,store,30,5062.42,99
2026-07-24,web,34,7216.78,120
2026-07-25,mobile,35,7460.80,117
2026-07-25,partner,25,4176.79,82
2026-07-25,store,40,7712.17,158
2026-07-25,web,36,7459.52,122
2026-07-26,mobile,40,7515.81,140
2026-07-26,partner,36,7018.72,129
2026-07-26,store,27,5475.65,88
2026-07-26,web,41,7332.08,167
2026-07-27,mobile,27,6160.73,87
2026-07-27,partner,40,6915.11,144
2026-07-27,store,44,8208.95,140
2026-07-27,web,56,11134.57,197
2026-07-28,mobile,30,4998.91,109
2026-07-28,partner,35,7789.61,127
2026-07-28,store,32,4855.72,116
2026-07-28,web,46,9716.24,147
2026-07-29,mobile,43,7724.26,145
2026-07-29,partner,43,8312.27,136
2026-07-29,store,26,4923.31,83
2026-07-29,web,42,8420.75,135
2026-07-30,mobile,32,6011.76,106
2026-07-30,partner,28,5771.15,103
2026-07-30,store,34,7832.38,128
2026-07-30,web,43,7466.43,130
2026-07-31,mobile,45,8210.31,159
2026-07-31,partner,36,7215.17,129
2026-07-31,store,33,6739.53,120
2026-07-31,web,45,9319.88,172
